Song,Artist,Writer(s),Original release,Year,Ref.
"""My One and Only Love""(Vic Damone cover)",Paul McCartney,Guy WoodRobert Mellin,Kisses on the Bottom (Deluxe edition),2012,[65]
"""My Valentine""",Paul McCartney,Paul McCartney,Kisses on the Bottom,2012,[48]
"""My Very Good Friend the Milkman""(Fats Waller cover)",Paul McCartney,Harold SpinaJohnny Burke,Kisses on the Bottom,2012,[48]
"""Name and Address""",Wings,Paul McCartney,London Town,1978,[68]
"""New""",Paul McCartney,Paul McCartney,New,2013,[57]
"""Night Out""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway (Archive Collection),2018,[41]
"""Nineteen Hundred and Eighty-Five""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Band on the Run,1973,[72]
"""No More Lonely Nights""[q]",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[70]
"""No More Lonely Nights (Ballad Reprise)""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[70]
"""No Other Baby""(Dickie Bishop and the Sidekicks cover)",Paul McCartney,Dickie BishopBob Watson,Run Devil Run,1999,[55]
"""No Values""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[70]
"""No Words""",Paul McCartneyand Wings,Paul McCartneyDenny Laine,Band on the Run,1973,[72]
"""Nobody Knows""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""Nod Your Head""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""The Note You Never Wrote""",Wings,Paul McCartneyLinda McCartney,Wings at the Speed of Sound,1976,[74]
"""Nothing for Free""",Paul McCartney,Paul McCartneyRyan Tedder,Egypt Station (Explorer's edition),2019,[110]
"""Nothing Too Much Just Out of Sight""",Paul McCartney,Paul McCartney,Electric Arguments,2008,[97]
"""Not Such a Bad Boy""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[70]
"""Ode to a Koala Bear""",Paul McCartney,Paul McCartney,"B-side to ""Say Say Say""",1983,[148]
"""Off the Ground""",Paul McCartney,Paul McCartney,Off the Ground,1993,[77]
"""Oh Woman, Oh Why""",Paul McCartney,Paul McCartney,"B-side to ""Another Day""",1971,[59]
"""Old Siam, Sir""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""On My Way to Work""",Paul McCartney,Paul McCartney,New,2013,[57]
"""On the Way""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""Once Upon a Long Ago""",Paul McCartney,Paul McCartney,All the Best!,1987,[149]
"""One More Kiss""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway,1973,[75]
"""One of These Days""",Paul McCartney,Paul McCartney,McCartney II,1980,[80]
"""Only Love Remains""",Paul McCartney,Paul McCartney,Press to Play,1986,[58]
"""Only Mama Knows""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[98]
"""Only One""",Kanye West featuringPaul McCartney,Kanye WestPaul McCartneyKirby LauryenMike DeanNoah Goldstein,Non-album single,2014,[150]
